image_url,original_price,price,price_off_percentages,title
https://rukminim1.flixcart.com/image/312/312/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,"₹ 81,990","₹53,990",34% off,"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA... ₹53,990 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/z/x/14alc7-thin-and-light-laptop-lenovo-original-imaggujjhgppfkfg.jpeg?q=70,"₹ 86,690","₹59,508",31% off,"Lenovo IdeaPad Flex 5 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Light... ₹59,508 Free delivery Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70,"₹ 54,999","₹35,990",34% off,"realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop ₹35,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/z/o/xl30-thin-and-light-laptop-infinix-original-imagzmncf5snymhu.jpeg?q=70,"₹ 34,990","₹23,490",32% off,"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and... ₹23,490 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/v/9/-original-imagp7pfeutcgxrn.jpeg?q=70,"₹ 47,279","₹35,990",23% off,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop ₹35,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/l/u/-original-imagp7pf4hphhyhu.jpeg?q=70,"₹ 59,109","₹50,490",14% off,"HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop ₹50,490 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70,"₹ 74,829","₹62,890",15% off,"HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/14... ₹62,890"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,"₹ 62,999","₹39,900",36% off,"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X800LGIN... ₹39,900 Free delivery No Cost EMI from ₹6,650/month Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/e/h/-original-imagjyc69gh3a8wu.jpeg?q=70,"₹ 84,990","₹55,999",34% off,"Acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G... ₹55,999 Free delivery Bank Offer"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70,"₹ 67,090","₹40,990",38% off,"Lenovo IdeaPad 3 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Light Laptop ₹40,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/l0sgyvk0/computer/n/n/1/14alc05-thin-and-light-laptop-lenovo-original-imagchxwvqxpfxrh.jpeg?q=70,"₹ 83,890","₹61,990",26% off,"Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14ALC05 2 in 1 Lapto... ₹61,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/m/2/-original-imagpa5gadtkbm6y.jpeg?q=70,"₹ 82,490","₹57,800",29% off,"Lenovo IdeaPad 3 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAU7 Thin and Light Lap... ₹57,800 Free delivery Daily Saver Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70,"₹ 44,990","₹27,990",37% off,"Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ... ₹27,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70,"₹ 70,990","₹54,990",22% off,"MSI Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) GF63 T... ₹54,990 Free delivery by Upto  No Cost EMI from ₹4,583/month"
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70,"₹ 44,999","₹31,990",28% off,"Acer Extensa (2023) Core i3 - (8 GB/256 GB SSD/Windows 11 Home) EX215-33 Notebook ₹31,990 Free delivery by Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/l/n/xl30-thin-and-light-laptop-infinix-original-imagzmncmw5wukam.jpeg?q=70,,"₹39,990",,"Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL30 Thin and... ₹39,990 Free delivery by Upto  Bank Offer"
https://rukminim1.flixcart.com/image/312/312/kwmfqfk0/computer/8/l/2/ideapad-3-14acl6-thin-and-light-laptop-lenovo-original-imag99kmftdeexpz.jpeg?q=70,"₹ 67,990","₹50,990",25% off,"Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) ideapad 3 14ALC6UB Thin and... ₹50,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70,"₹ 93,690","₹64,990",30% off,"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA... ₹64,990 Free delivery Hot Deal Upto "
https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70,"₹ 39,995","₹34,990",12% off,"HP 15s (2023) Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1580AU Thin and Light... ₹34,990 Free delivery by Upto  Bank Offer"
